PLACE,PIN,LAT,LON
LachmanKhunta,756028,21.520134,86.898115
Lakhananath,756086,21.520134,86.898115
LakhananathRoad,756086,21.520134,86.898115
Machhada,756080,21.65188,87.14157
Machhadiha,756029,21.520134,86.898115
MachharankaSimulia,756023,21.520134,86.898115
Machhua,756020,21.559027,86.786148
Madhupura,756035,21.57919,86.96908
Mahagab,756035,21.73819,87.41469
Maharudrapur,756044,21.282287,86.864691
Mahatipur,756048,21.279675,86.503445
Mahispata,756020,21.520134,86.898115
Mahuduma,756033,21.903845,87.115518
MahuMuhana,756045,21.520134,86.898115
Makalpur,756003,21.48611,86.93453
Makhanpur,756047,21.255161,86.578555
Malaruan,756038,21.658128,87.376731
Malipal,756086,21.86078,87.22319
Mandhatabazar,756024,21.520134,86.898115
Mandrukula,756029,21.520134,86.898115
Mangalapur,756045,21.537513,86.898539
Manikula,756002,21.49486,86.99916
Manipur,756047,21.33536,86.61786
Mankidia,756033,21.929925,87.241393
Mankunda,756036,21.64922,87.45217
Markona,756126,21.185002,86.605668
Masanbaria,756034,21.750554,87.335152
Mathani,756029,21.668594,87.066173
Mathuranath,756086,21.820041,87.213305
Matiali,756041,21.57952,86.75318
Mirigini,756040,21.46467,86.73736
Mirjapur,756134,21.46686,87.05244
Mitrapur,756020,21.543095,86.799436
Mituani,756048,21.29657,86.469427
Mobarakpur,756045,21.272253,86.686205
MohammadNagar,756030,21.77121,87.158152
MohammadNagarpatna,756086,21.786953,87.183153
Mohammadpur,756126,21.232752,86.552318
Motiganj,756003,21.491467,86.94183
Mukulisi,756022,21.67271,87.13329
Mulisingh,756045,21.303539,86.729063
Munutunia,756033,21.890305,87.229486
Nabra,756081,21.664264,87.211656
Nachhipur,756048,21.273302,86.483228
Nachinda,756035,21.71628,87.32978
Nachinta,756043,21.360374,86.820779
Nadbani,756024,21.73651,87.13759
Nafrai,756037,21.73072,87.3933
Nagram,756027,21.54966,86.95572
Nahanga,756059,21.25867,86.44369
Naikudi,756081,21.650854,87.159742
Nalabahar,756028,21.63896,87.17765
Nampo,756034,21.766194,87.289185
Nangaleswar,756024,21.61822,87.182698
Naraharipur,756019,21.46842,86.81316
Naranmohantypadia,756037,21.588372,87.397273
Narasingpur,756020,21.59121,86.7764
Narayanapur,756041,21.566424,87.276754
Narayanpur,756036,21.644338,87.399677
Naskarpur,756085,21.63152,87.43665
NayabazarBalasore,756001,21.34687,86.661108
NayabazarJaleswar,756032,21.762438,87.24193
Nayapalli,756079,21.70206,87.32278
Nepura,756023,21.668429,87.230731
Netua,756084,21.798999,87.291671
Nijampur,756003,21.72601,87.337014
Nikhira,756023,21.676019,87.239442
NilgiriCollege,756040,21.459166,86.772862
Nilpura,756079,21.682292,87.342452
Nimatpur,756036,21.6342,87.410793
Nimpada,756080,21.599914,87.144818
Nimpal,756020,21.580185,86.750285
Nishanpur,756036,21.69762,87.464935
Nuagaon,756024,21.537638,86.792625
Nuagaon,756028,21.537638,86.792625
Nuapadhi,756020,21.55133,86.83053
Odangi,756027,21.564132,86.969917
Olipur,756027,21.628833,87.178433
Olmara,756033,21.936366,87.223263
Oupada,756049,21.3266,86.50534
Padagaon,756043,21.520134,86.898115
Padhuan,756046,21.212615,86.769145
Paiksida,756086,21.520134,86.898115
Pakhar,756046,21.232277,86.739123
Panasha,756080,21.6154,87.132938
Panchpada,756133,21.520134,86.898115
Panchupada,756027,21.560042,87.074914
Panchupalli,756024,21.590165,87.193787
Panchurukhi,756026,21.64031,87.28861
Pandasuni,756044,21.336221,86.803203
Pandurangi,756029,21.520134,86.898115
PaniChhatra,756059,21.244343,86.462757
Panjibag,756002,21.64421,87.12346
Panpana,756043,21.36605,86.793065
Parbatipur,756166,21.11512,86.60945
Parkhi,756025,21.520134,86.898115
Pasarbindha,756036,21.636057,87.400257
PaschimaBad,756026,21.520134,86.898115
Patna,756020,21.56533,87.28928
Paunsakuli,756081,21.71508,87.170958
Pithahat,756058,21.50879,86.62163
Pithapur,756038,21.646615,87.355015
Podasul,756040,21.470837,86.746102
Pratapada,756043,21.4395,86.78972
Pratappur,756083,21.605105,87.274268
Pundala,756020,21.59621,86.774315
PurunaBalasore,756002,21.619828,86.693492
Purusottampur,756035,21.30928,86.68108
Putina,756035,21.716888,87.369068
Putura,756081,21.658027,87.176814
Radhaballavpur,756045,21.21532,86.64657
Rahaniaganj,756044,21.28199,86.80276
